tf	target	weight
b4498	b1818	90.098
b0208	b0210	90.058
b0272	b1242	90.008
b3119	b3861	89.932
b1422	b0346	89.87
b3555	b0871	89.79
b1987	b1012	89.769
b1987	b1011	89.755
b2741	b2742	89.73
b3905	b3532	89.669
b2697	b0176	89.663
b1739	b1724	89.641
b1642	b1708	89.604
b3190	b3255	89.463
b2852	b4462	89.45
b4205	b4204	89.428
b3515	b3491	89.353
b2805	b3001	89.267
b1892	b1742	89.216
b3119	b2852	89.152
b1922	b1760	89.078
b1563	b3021	89.072
b3555	b3024	89.029
b3067	b3400	88.989
b1658	b0523	88.835
b1306	b1303	88.815
b1658	b0522	88.786
b4043	b1728	88.678
b3702	b3699	88.674
b2537	b4216	88.589
b1071	b1044	88.523
b1892	b3072	88.486
b1892	b4355	88.389
b1891	b1937	88.313
b1071	b0765	88.293
b2125	b3224	88.25
b0788	b0789	88.164
b1987	b1008	88.154
b1384	b0346	88.099
b1303	b1306	88.042
b3684	b3679	88.036
b3119	b3562	87.917
b0571	b0574	87.868
b1987	b1920	87.867
b3842	b3470	87.771
b1712	b0435	87.734
b3905	b3329	87.558
b1892	b1760	87.498
b1922	b1742	87.486
b2491	b2487	87.451
b3119	b2849	87.411
b3963	b4125	87.403
b1892	b4109	87.389
b2479	b1104	87.368
b0761	b0762	87.336
b2125	b3225	87.321
b0483	b0482	87.302
b2852	b3047	87.299
b1214	b1208	87.288
b1658	b1849	87.284
b1299	b1422	87.254
b0435	b1810	87.228
b2805	b0791	87.199
b0375	b0258	87.172
b2125	b3934	87.144
b0900	b0901	86.989
b2479	b1103	86.983
b3906	b3329	86.798
b2707	b4239	86.789
b4043	b0799	86.786
b2805	b1002	86.68
b3905	b2918	86.626
b1563	b4599	86.617
b1526	b1789	86.548
b3906	b2918	86.534
b1987	b1010	86.519
b2248	b2245	86.38
b3119	b3563	86.348
b3961	b2896	86.307
b1987	b0828	86.136
b3190	b3639	86.124
b3906	b3138	86.118
b3912	b3911	86.079
b1892	b1566	86.06
b3905	b3907	85.987
b1506	b0691	85.985
b0294	b0137	85.917
b4498	b1819	85.898
b3711	b3906	85.881
b3556	b3163	85.868
b3067	b3931	85.84
b3481	b3480	85.822
b1891	b1071	85.802
b1213	b1208	85.786
b3555	b3494	85.754
b4539	b3021	85.752
b3481	b3476	85.697
b1658	b2476	85.362
b3119	b4552	85.362
b2869	b1308	85.334
b4539	b0225	85.33
b1891	b1885	85.264
b4366	b4365	85.215
b2017	b0225	85.2
b1987	b3661	85.137
b1799	b2799	85.044
b0487	b3491	85.022
b3711	b3944	85.006
b1422	b1299	84.887
b1922	b1950	84.868
b1422	b1298	84.788
b1658	b2499	84.778
b3067	b3932	84.774
b3481	b3478	84.724
b4293	b0583	84.606
b3555	b0897	84.559
b3357	b4558	84.544
b1712	b4581	84.537
b1506	b2071	84.487
b1658	b2313	84.446
b3555	b2097	84.446
b2869	b4118	84.438
b3067	b0015	84.399
b2707	b4240	84.399
b0375	b0603	84.373
b3905	b3533	84.273
b2852	b2368	84.169
b1384	b3453	84.153
b1891	b1070	84.037
b1735	b1736	83.997
b3684	b3576	83.967
b0346	b0598	83.946
b3022	b4599	83.932
b1739	b1064	83.906
b0435	b1712	83.896
b4539	b0119	83.895
b3783	b3704	83.891
b0294	b0138	83.872
b3711	b4210	83.86
b0080	b2091	83.778
b3481	b3477	83.769
b2537	b1612	83.764
b2125	b3222	83.752
b2409	b2933	83.708
b3934	b2126	83.702
b0346	b1611	83.678
b0272	b4603	83.618
b3711	b3104	83.596
b2805	b2799	83.578
b3934	b2125	83.529
b3067	b0473	83.527
b3905	b3141	83.521
b0399	b0397	83.51
b0413	b0415	83.422
b0487	b1661	83.328
b1040	b0856	83.283
b3067	b0014	83.281
b0487	b3513	83.246
b4043	b3813	83.243
b0346	b3845	83.22
b3783	b4557	83.199
b3071	b3937	83.185
b1512	b1443	83.148
b1213	b1209	82.983
b0272	b3174	82.979
b2805	b4189	82.96
b3067	b4142	82.924
b3954	b2043	82.913
b3516	b4377	82.908
b1739	b3024	82.871
b1422	b2463	82.866
b1642	b1180	82.835
b3067	b4143	82.778
b1891	b1950	82.764
b2479	b3858	82.742
b1564	b3021	82.722
b2217	b1832	82.702
b4539	b0461	82.696
